1:	X	2	X	X	1	1	1	1	1	X	1
2:	2	X	2	2	1	1	1	1	1	2	1
3:	1	X	2	X	X	1	1	1	1	1	X
4:	1	2	X	2	2	1	1	1	1	1	2
5:	X	1	X	2	X	X	1	1	1	1	1
6:	2	1	2	X	2	2	1	1	1	1	1
7:	1	X	1	X	2	X	X	1	1	1	1
8:	1	2	1	2	X	2	2	1	1	1	1
9:	1	1	X	1	X	2	X	X	1	1	1
10:	1	1	2	1	2	X	2	2	1	1	1
11:	1	1	1	X	1	X	2	X	X	1	1
12:	1	1	1	2	1	2	X	2	2	1	1
13:	1	1	1	1	X	1	X	2	X	X	1
14:	1	1	1	1	2	1	2	X	2	2	1
15:	1	1	1	1	1	X	1	X	2	X	X
16:	1	1	1	1	1	2	1	2	X	2	2
17:	X	1	1	1	1	1	X	1	X	2	X
18:	2	1	1	1	1	1	2	1	2	X	2
19:	X	X	1	1	1	1	1	X	1	X	2
20:	2	2	1	1	1	1	1	2	1	2	X
21:	2	X	X	1	1	1	1	1	X	1	X
22:	X	2	2	1	1	1	1	1	2	1	2
23:	2	2	2	1	X	1	1	X	1	1	1
24:	X	X	X	1	2	1	1	2	1	1	1
25:	1	2	2	2	1	X	1	1	X	1	1
26:	1	X	X	X	1	2	1	1	2	1	1
27:	1	1	2	2	2	1	X	1	1	X	1
28:	1	1	X	X	X	1	2	1	1	2	1
29:	1	1	1	2	2	2	1	X	1	1	X
30:	1	1	1	X	X	X	1	2	1	1	2
31:	X	1	1	1	2	2	2	1	X	1	1
32:	2	1	1	1	X	X	X	1	2	1	1
33:	1	X	1	1	1	2	2	2	1	X	1
34:	1	2	1	1	1	X	X	X	1	2	1
35:	1	1	X	1	1	1	2	2	2	1	X
36:	1	1	2	1	1	1	X	X	X	1	2
37:	X	1	1	X	1	1	1	2	2	2	1
38:	2	1	1	2	1	1	1	X	X	X	1
39:	1	X	1	1	X	1	1	1	2	2	2
40:	1	2	1	1	2	1	1	1	X	X	X
41:	2	1	X	1	1	X	1	1	1	2	2
42:	X	1	2	1	1	2	1	1	1	X	X
43:	2	2	1	X	1	1	X	1	1	1	2
44:	X	X	1	2	1	1	2	1	1	1	X
45:	X	X	2	1	1	X	2	1	1	1	1
46:	2	2	X	1	1	2	X	1	1	1	1
47:	1	X	X	2	1	1	X	2	1	1	1
48:	1	2	2	X	1	1	2	X	1	1	1
49:	1	1	X	X	2	1	1	X	2	1	1
